CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),City,Customer_Level
79,Female,23,54,52,Bangalore,Medium
80,Female,49,54,42,Mumbai,Medium
81,Male,57,54,51,Delhi,Medium
82,Male,38,54,55,Mumbai,Medium
83,Male,67,54,41,Delhi,Medium
84,Female,46,54,44,Bangalore,Medium
85,Female,21,54,57,Mumbai,Medium
86,Male,48,54,46,Delhi,Medium
87,Female,55,57,58,Mumbai,Medium
88,Female,22,57,55,Delhi,Medium
89,Female,34,58,60,Bangalore,Medium
90,Female,50,58,46,Mumbai,Medium
91,Female,68,59,55,Delhi,Medium
92,Male,18,59,41,Mumbai,Medium
93,Male,48,60,49,Delhi,Medium
94,Female,40,60,40,Bangalore,Low
95,Female,32,60,42,Mumbai,Medium
96,Male,24,60,52,Delhi,Medium
97,Female,47,60,47,Mumbai,Medium
98,Female,27,60,50,Delhi,Medium
99,Male,48,61,42,Bangalore,Medium
100,Male,20,61,49,Mumbai,Medium
101,Female,23,62,41,Delhi,Medium
102,Female,49,62,48,Mumbai,Medium
103,Male,67,62,59,Delhi,Medium
104,Male,26,62,55,Bangalore,Medium
105,Male,49,62,56,Mumbai,Medium
106,Female,21,62,42,Delhi,Medium
107,Female,66,63,50,Mumbai,Medium
108,Male,54,63,46,Delhi,Medium
109,Male,68,63,43,Bangalore,Medium
110,Male,66,63,48,Mumbai,Medium
111,Male,65,63,52,Delhi,Medium
112,Female,19,63,54,Mumbai,Medium
113,Female,38,64,42,Delhi,Medium
114,Male,19,64,46,Bangalore,Medium
115,Female,18,65,48,Mumbai,Medium
116,Female,19,65,50,Delhi,Medium
117,Female,63,65,43,Mumbai,Medium
118,Female,49,65,59,Delhi,Medium
119,Female,51,67,43,Bangalore,Medium
120,Female,50,67,57,Mumbai,Medium
121,Male,27,67,56,Delhi,Medium
122,Female,38,67,40,Mumbai,Low
123,Female,40,69,58,Delhi,Medium
124,Male,39,69,91,Bangalore,High
125,Female,23,70,29,Mumbai,Low
126,Female,31,70,77,Delhi,High
127,Male,43,71,35,Mumbai,Low
128,Male,40,71,95,Delhi,High
129,Male,59,71,11,Bangalore,Low
130,Male,38,71,75,Mumbai,High
131,Male,47,71,9,Delhi,Low
132,Male,39,71,75,Mumbai,High
133,Female,25,72,34,Delhi,Low
134,Female,31,72,71,Bangalore,High
135,Male,20,73,5,Mumbai,Low
136,Female,29,73,88,Delhi,High
137,Female,44,73,7,Mumbai,Low
138,Male,32,73,73,Delhi,High
139,Male,19,74,10,Bangalore,Low
140,Female,35,74,72,Mumbai,High
141,Female,57,75,5,Delhi,Low
142,Male,32,75,93,Mumbai,High
143,Female,28,76,40,Delhi,Low
144,Female,32,76,87,Bangalore,High
145,Male,25,77,12,Mumbai,Low
146,Male,28,77,97,Delhi,High
147,Male,48,77,36,Mumbai,Low
148,Female,32,77,74,Delhi,High
149,Female,34,78,22,Bangalore,Low
150,Male,34,78,90,Mumbai,High
151,Male,43,78,17,Delhi,Low
152,Male,39,78,88,Mumbai,High
153,Female,44,78,20,Delhi,Low
154,Female,38,78,76,Bangalore,High
155,Female,47,78,16,Mumbai,Low
156,Female,27,78,89,Delhi,High
157,Male,37,78,1,Mumbai,Low
158,Female,30,78,78,Delhi,High
159,Male,34,78,1,Bangalore,Low
160,Female,30,78,73,Mumbai,High
161,Female,56,79,35,Delhi,Low
162,Female,29,79,83,Mumbai,High
163,Male,19,81,5,Delhi,Low
164,Female,31,81,93,Bangalore,High
165,Male,50,85,26,Mumbai,Low
166,Female,36,85,75,Delhi,High
167,Male,42,86,20,Mumbai,Low
168,Female,33,86,95,Delhi,High
169,Female,36,87,27,Bangalore,Low
170,Male,32,87,63,Mumbai,Medium
171,Male,40,87,13,Delhi,Low
172,Male,28,87,75,Mumbai,High
173,Male,36,87,10,Delhi,Low
174,Male,36,87,92,Bangalore,High
175,Female,52,88,13,Mumbai,Low
176,Female,30,88,86,Delhi,High
177,Male,58,88,15,Mumbai,Low
178,Male,27,88,69,Delhi,Medium
179,Male,59,93,14,Bangalore,Low
180,Male,35,93,90,Mumbai,High
181,Female,37,97,32,Delhi,Low
182,Female,32,97,86,Mumbai,High
183,Male,46,98,15,Delhi,Low
184,Female,29,98,88,Bangalore,High
185,Female,41,99,39,Mumbai,Low
186,Male,30,99,97,Delhi,High
187,Female,54,101,24,Mumbai,Low
188,Male,28,101,68,Delhi,Medium
189,Female,41,103,17,Bangalore,Low
190,Female,36,103,85,Mumbai,High
191,Female,34,103,23,Delhi,Low
192,Female,32,103,69,Mumbai,Medium
193,Male,33,113,8,Delhi,Low
194,Female,38,113,91,Bangalore,High
195,Female,47,120,16,Mumbai,Low
196,Female,35,120,79,Delhi,High
197,Female,45,126,28,Mumbai,Low
198,Male,32,126,74,Delhi,High
199,Male,32,137,18,Bangalore,Low
200,Male,30,137,83,Mumbai,High
